scheme,experiment_name,species_config_name,kept_species,num_species_kept,input_size,output_size,hidden_size,seed,noise_repeat,noise_std,noise_percent,noise_label,noise_rng_seed,reused_saved_weights,saved_weights_path,test_mse_scaled,test_rmse_scaled,k1_mse_scaled,k1_rmse_scaled,k2_mse_scaled,k2_rmse_scaled,k3_mse_scaled,k3_rmse_scaled
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,0,0.0,0.0,0%,32012345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,1,0.0,0.0,0%,32022345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,2,0.0,0.0,0%,32032345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,3,0.0,0.0,0%,32042345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,4,0.0,0.0,0%,32052345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,5,0.0,0.0,0%,32062345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,6,0.0,0.0,0%,32072345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,7,0.0,0.0,0%,32082345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,8,0.0,0.0,0%,32092345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
O2_novib,InverseProblem_GaussianNoiseRobustness,8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd),"O2(X), O2(a), O2(b), O2(Hz), O2+(X), O(3P), O(1D), O+(gnd)",8,16,3,"30, 30",32,9,0.0,0.0,0%,32102345,True,"saved_weights\O2_novib\8__O2(X)__O2(a)__O2(b)__O2(Hz)__O2+(X)__O(3P)__O(1D)__O+(gnd)\seed_0032\30, 30\model.pth",6.916419062118114e-06,0.0026299085653531977,1.7636461800858426e-05,0.004199578764692767,1.661406977140345e-06,0.0012889557700481212,1.4513884083555695e-06,0.0012047358251316218
